learning_material_id,source_title,grade,source_url,source_key,image_page,image_url,local_path,file_size_bytes,status,notes
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0013,https://cdn3.olm.vn/upload/taphuan/4699918592-page-13-1775787601075.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0013.png,679335,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0014,https://cdn3.olm.vn/upload/taphuan/4699918592-page-14-1775787601388.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0014.png,890093,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0015,https://cdn3.olm.vn/upload/taphuan/4699918592-page-15-1775787601699.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0015.png,647402,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0016,https://cdn3.olm.vn/upload/taphuan/4699918592-page-16-1775787601984.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0016.png,559861,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0017,https://cdn3.olm.vn/upload/taphuan/4699918592-page-17-1775787602297.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0017.png,525861,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0018,https://cdn3.olm.vn/upload/taphuan/4699918592-page-18-1775787602604.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0018.png,707090,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0019,https://cdn3.olm.vn/upload/taphuan/4699918592-page-19-1775787602923.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0019.png,713043,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0020,https://cdn3.olm.vn/upload/taphuan/4699918592-page-20-1775787603252.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0020.png,726704,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0021,https://cdn3.olm.vn/upload/taphuan/4699918592-page-21-1775787603540.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0021.png,626143,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0022,https://cdn3.olm.vn/upload/taphuan/4699918592-page-22-1775787603834.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0022.png,994056,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
